Date Range,Pageviews
"Oct 25, 2020 - Oct 31, 2020",1405
"Oct 18, 2020 - Oct 24, 2020",1132
"Oct 11, 2020 - Oct 17, 2020",1464
"Oct 4, 2020 - Oct 10, 2020",1061
"Sep 27, 2020 - Oct 3, 2020",1123
"Sep 20, 2020 - Sep 26, 2020",841
"Sep 13, 2020 - Sep 19, 2020",997
"Sep 6, 2020 - Sep 12, 2020",1101
"Aug 30, 2020 - Sep 5, 2020",866
"Aug 23, 2020 - Aug 29, 2020",1037
"Aug 2, 2020 - Aug 8, 2020",707
"Jul 26, 2020 - Aug 1, 2020",744
"Jul 19, 2020 - Jul 25, 2020",747
"Jul 12, 2020 - Jul 18, 2020",715
"Aug 16, 2020 - Aug 22, 2020",1023
"Aug 9, 2020 - Aug 15, 2020",893
